
---- Start ----

There are 1 classes!
[Train fold] 355 samples
[Validation fold] 89 samples

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
multilabel_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 0
selected_class: Hueco
img_size: 512
crop_size: 512
model_name: unet_extra_small
checkpoint: 
data_mod: 
pretrained: False
fold: 0
output_dir: results/segmentation/fold0/Hueco/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True
histogram_matching: False

-------------- START TRAINING --------------
	[2021-02-04 10:01:35] Epoch: 118, LR: 0.00010000, Train IOU: 0.1654, Val IOU: 0.5967, Val DICE: 0.7257
------------------------------------------------

There are 1 classes!
[Train fold] 355 samples
[Validation fold] 89 samples

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
multilabel_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 0
selected_class: Hueco
img_size: 512
crop_size: 512
model_name: unet_extra_small
checkpoint: 
data_mod: 
pretrained: False
fold: 1
output_dir: results/segmentation/fold1/Hueco/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True
histogram_matching: False

-------------- START TRAINING --------------
[2021-02-04 10:03:24] Epoch: 1, LR: 0.01000000, Train IOU: 0.0461, Val IOU: 0.0003, Val DICE: 0.0006
[2021-02-04 10:03:56] Epoch: 2, LR: 0.01000000, Train IOU: 0.0045, Val IOU: 0.0000, Val DICE: 0.0000
[2021-02-04 10:04:29] Epoch: 3, LR: 0.01000000, Train IOU: 0.0256, Val IOU: 0.2635, Val DICE: 0.3820
[2021-02-04 10:05:03] Epoch: 4, LR: 0.01000000, Train IOU: 0.1005, Val IOU: 0.3340, Val DICE: 0.4580
[2021-02-04 10:05:36] Epoch: 5, LR: 0.01000000, Train IOU: 0.1244, Val IOU: 0.1637, Val DICE: 0.2629
[2021-02-04 10:06:09] Epoch: 6, LR: 0.01000000, Train IOU: 0.1217, Val IOU: 0.3608, Val DICE: 0.4814
[2021-02-04 10:06:43] Epoch: 7, LR: 0.01000000, Train IOU: 0.1158, Val IOU: 0.4397, Val DICE: 0.5799
[2021-02-04 10:07:16] Epoch: 8, LR: 0.01000000, Train IOU: 0.1429, Val IOU: 0.4306, Val DICE: 0.5623
[2021-02-04 10:07:49] Epoch: 9, LR: 0.01000000, Train IOU: 0.1104, Val IOU: 0.2933, Val DICE: 0.3943
[2021-02-04 10:08:23] Epoch: 10, LR: 0.01000000, Train IOU: 0.1103, Val IOU: 0.2085, Val DICE: 0.2917
[2021-02-04 10:08:57] Epoch: 11, LR: 0.01000000, Train IOU: 0.1236, Val IOU: 0.3081, Val DICE: 0.4101
[2021-02-04 10:09:30] Epoch: 12, LR: 0.01000000, Train IOU: 0.1330, Val IOU: 0.2935, Val DICE: 0.4044
[2021-02-04 10:10:02] Epoch: 13, LR: 0.01000000, Train IOU: 0.1270, Val IOU: 0.1275, Val DICE: 0.1948
[2021-02-04 10:10:35] Epoch: 14, LR: 0.01000000, Train IOU: 0.1356, Val IOU: 0.4982, Val DICE: 0.6342
[2021-02-04 10:11:08] Epoch: 15, LR: 0.01000000, Train IOU: 0.1240, Val IOU: 0.3950, Val DICE: 0.5331
[2021-02-04 10:11:41] Epoch: 16, LR: 0.01000000, Train IOU: 0.1481, Val IOU: 0.4817, Val DICE: 0.6166
[2021-02-04 10:12:14] Epoch: 17, LR: 0.01000000, Train IOU: 0.1413, Val IOU: 0.3808, Val DICE: 0.4970
[2021-02-04 10:12:47] Epoch: 18, LR: 0.01000000, Train IOU: 0.1342, Val IOU: 0.3558, Val DICE: 0.4739
[2021-02-04 10:13:20] Epoch: 19, LR: 0.01000000, Train IOU: 0.1505, Val IOU: 0.0223, Val DICE: 0.0367
[2021-02-04 10:13:53] Epoch: 20, LR: 0.01000000, Train IOU: 0.1499, Val IOU: 0.0432, Val DICE: 0.0657
[2021-02-04 10:14:27] Epoch: 21, LR: 0.01000000, Train IOU: 0.1325, Val IOU: 0.2303, Val DICE: 0.3038
[2021-02-04 10:15:02] Epoch: 22, LR: 0.01000000, Train IOU: 0.1124, Val IOU: 0.3341, Val DICE: 0.4421
[2021-02-04 10:15:34] Epoch: 23, LR: 0.01000000, Train IOU: 0.1307, Val IOU: 0.3731, Val DICE: 0.4822
[2021-02-04 10:16:07] Epoch: 24, LR: 0.01000000, Train IOU: 0.1424, Val IOU: 0.4305, Val DICE: 0.5572
[2021-02-04 10:16:40] Epoch: 25, LR: 0.01000000, Train IOU: 0.1479, Val IOU: 0.4570, Val DICE: 0.5897
[2021-02-04 10:17:13] Epoch: 26, LR: 0.01000000, Train IOU: 0.1369, Val IOU: 0.4113, Val DICE: 0.5397
[2021-02-04 10:17:46] Epoch: 27, LR: 0.01000000, Train IOU: 0.1328, Val IOU: 0.3132, Val DICE: 0.4346
[2021-02-04 10:18:20] Epoch: 28, LR: 0.01000000, Train IOU: 0.1265, Val IOU: 0.3939, Val DICE: 0.5249
[2021-02-04 10:18:53] Epoch: 29, LR: 0.01000000, Train IOU: 0.1410, Val IOU: 0.4250, Val DICE: 0.5532
[2021-02-04 10:19:28] Epoch: 30, LR: 0.01000000, Train IOU: 0.1321, Val IOU: 0.3875, Val DICE: 0.5206
[2021-02-04 10:20:00] Epoch: 31, LR: 0.01000000, Train IOU: 0.1434, Val IOU: 0.4555, Val DICE: 0.5758
[2021-02-04 10:20:32] Epoch: 32, LR: 0.01000000, Train IOU: 0.1384, Val IOU: 0.4964, Val DICE: 0.6255
[2021-02-04 10:21:06] Epoch: 33, LR: 0.01000000, Train IOU: 0.1465, Val IOU: 0.4654, Val DICE: 0.5944
[2021-02-04 10:21:39] Epoch: 34, LR: 0.01000000, Train IOU: 0.1361, Val IOU: 0.3815, Val DICE: 0.5022
[2021-02-04 10:22:12] Epoch: 35, LR: 0.01000000, Train IOU: 0.1503, Val IOU: 0.4937, Val DICE: 0.6253
[2021-02-04 10:22:46] Epoch: 36, LR: 0.01000000, Train IOU: 0.1543, Val IOU: 0.4031, Val DICE: 0.5200
[2021-02-04 10:23:20] Epoch: 37, LR: 0.01000000, Train IOU: 0.1395, Val IOU: 0.2420, Val DICE: 0.3439
[2021-02-04 10:23:53] Epoch: 38, LR: 0.01000000, Train IOU: 0.1351, Val IOU: 0.3704, Val DICE: 0.5000
[2021-02-04 10:24:25] Epoch: 39, LR: 0.01000000, Train IOU: 0.1441, Val IOU: 0.3671, Val DICE: 0.4909
[2021-02-04 10:24:58] Epoch: 40, LR: 0.01000000, Train IOU: 0.1529, Val IOU: 0.4482, Val DICE: 0.5733
[2021-02-04 10:25:32] Epoch: 41, LR: 0.01000000, Train IOU: 0.1524, Val IOU: 0.4496, Val DICE: 0.5830
[2021-02-04 10:26:06] Epoch: 42, LR: 0.01000000, Train IOU: 0.1221, Val IOU: 0.3444, Val DICE: 0.4643
[2021-02-04 10:26:39] Epoch: 43, LR: 0.01000000, Train IOU: 0.1344, Val IOU: 0.3400, Val DICE: 0.4678
[2021-02-04 10:27:12] Epoch: 44, LR: 0.01000000, Train IOU: 0.1470, Val IOU: 0.4104, Val DICE: 0.5374
[2021-02-04 10:27:45] Epoch: 45, LR: 0.01000000, Train IOU: 0.1574, Val IOU: 0.4705, Val DICE: 0.6034
[2021-02-04 10:28:18] Epoch: 46, LR: 0.01000000, Train IOU: 0.1475, Val IOU: 0.4724, Val DICE: 0.6006
[2021-02-04 10:28:51] Epoch: 47, LR: 0.01000000, Train IOU: 0.1487, Val IOU: 0.5043, Val DICE: 0.6424
[2021-02-04 10:29:25] Epoch: 48, LR: 0.01000000, Train IOU: 0.1392, Val IOU: 0.4352, Val DICE: 0.5565
[2021-02-04 10:29:58] Epoch: 49, LR: 0.01000000, Train IOU: 0.1653, Val IOU: 0.3214, Val DICE: 0.4354
[2021-02-04 10:30:33] Epoch: 50, LR: 0.01000000, Train IOU: 0.1685, Val IOU: 0.3806, Val DICE: 0.5096
