
---- Start ----

Hay 1 clases!
[Train] 334 muestras
[Validacion] 67 muestras

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 20
cutmix: False
selected_class: Huecos
img_size: 512
crop_size: 512
model_name: unet_extra_small
pretrained: False
validation_size: 0.15
output_dir: results/segmentation/Huecos/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True

-------------- START TRAINING --------------
[2020-09-18 07:05:49] Epoch: 86, LR: 0.00010000, Train IOU: 0.1860, Val IOU: 0.6224
[2020-09-18 07:06:24] Epoch: 87, LR: 0.00010000, Train IOU: 0.2011, Val IOU: 0.6066
[2020-09-18 07:07:00] Epoch: 88, LR: 0.00010000, Train IOU: 0.1972, Val IOU: 0.6174
[2020-09-18 07:07:34] Epoch: 89, LR: 0.00010000, Train IOU: 0.1804, Val IOU: 0.6187
[2020-09-18 07:08:07] Epoch: 90, LR: 0.00010000, Train IOU: 0.2154, Val IOU: 0.6250/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:452: UserWarning: Warning: converting a masked element to nan.
  dv = np.float64(self.norm.vmax) - np.float64(self.norm.vmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:459: UserWarning: Warning: converting a masked element to nan.
  a_min = np.float64(newmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:464: UserWarning: Warning: converting a masked element to nan.
  a_max = np.float64(newmax)
<__array_function__ internals>:5: UserWarning: Warning: converting a masked element to nan.
/home/maparla/venv/lib/python3.8/site-packages/numpy/core/_asarray.py:83: UserWarning: Warning: converting a masked element to nan.
  return array(a, dtype, copy=False, order=order)

[2020-09-18 07:08:42] Epoch: 91, LR: 0.00010000, Train IOU: 0.1880, Val IOU: 0.6166
[2020-09-18 07:09:16] Epoch: 92, LR: 0.00010000, Train IOU: 0.1915, Val IOU: 0.6165
[2020-09-18 07:09:51] Epoch: 93, LR: 0.00010000, Train IOU: 0.2028, Val IOU: 0.6086
[2020-09-18 07:10:26] Epoch: 94, LR: 0.00010000, Train IOU: 0.1773, Val IOU: 0.6222
[2020-09-18 07:11:01] Epoch: 95, LR: 0.00010000, Train IOU: 0.2101, Val IOU: 0.6230
[2020-09-18 07:11:36] Epoch: 96, LR: 0.00010000, Train IOU: 0.1789, Val IOU: 0.6137
[2020-09-18 07:12:12] Epoch: 97, LR: 0.00010000, Train IOU: 0.1669, Val IOU: 0.6133
[2020-09-18 07:12:46] Epoch: 98, LR: 0.00010000, Train IOU: 0.1662, Val IOU: 0.6207
[2020-09-18 07:13:21] Epoch: 99, LR: 0.00010000, Train IOU: 0.1631, Val IOU: 0.6235
[2020-09-18 07:13:55] Epoch: 100, LR: 0.00010000, Train IOU: 0.2041, Val IOU: 0.6253
[2020-09-18 07:14:31] Epoch: 101, LR: 0.00010000, Train IOU: 0.1959, Val IOU: 0.6190
[2020-09-18 07:15:05] Epoch: 102, LR: 0.00010000, Train IOU: 0.1774, Val IOU: 0.6187
[2020-09-18 07:15:40] Epoch: 103, LR: 0.00010000, Train IOU: 0.1777, Val IOU: 0.6123
[2020-09-18 07:16:16] Epoch: 104, LR: 0.00010000, Train IOU: 0.1810, Val IOU: 0.6132
[2020-09-18 07:16:50] Epoch: 105, LR: 0.00010000, Train IOU: 0.1860, Val IOU: 0.6280
[2020-09-18 07:17:25] Epoch: 106, LR: 0.00010000, Train IOU: 0.1892, Val IOU: 0.6254
[2020-09-18 07:18:00] Epoch: 107, LR: 0.00010000, Train IOU: 0.1913, Val IOU: 0.6276
[2020-09-18 07:18:33] Epoch: 108, LR: 0.00010000, Train IOU: 0.1970, Val IOU: 0.6301
[2020-09-18 07:19:08] Epoch: 109, LR: 0.00010000, Train IOU: 0.1794, Val IOU: 0.6109
[2020-09-18 07:19:42] Epoch: 110, LR: 0.00010000, Train IOU: 0.1636, Val IOU: 0.6103
[2020-09-18 07:20:17] Epoch: 111, LR: 0.00001000, Train IOU: 0.1815, Val IOU: 0.6127
[2020-09-18 07:20:51] Epoch: 112, LR: 0.00001000, Train IOU: 0.1946, Val IOU: 0.6132
[2020-09-18 07:21:26] Epoch: 113, LR: 0.00001000, Train IOU: 0.1871, Val IOU: 0.6245
[2020-09-18 07:22:00] Epoch: 114, LR: 0.00001000, Train IOU: 0.1866, Val IOU: 0.6199
[2020-09-18 07:22:36] Epoch: 115, LR: 0.00001000, Train IOU: 0.1879, Val IOU: 0.6251
[2020-09-18 07:23:09] Epoch: 116, LR: 0.00001000, Train IOU: 0.1794, Val IOU: 0.6247
[2020-09-18 07:23:45] Epoch: 117, LR: 0.00001000, Train IOU: 0.1897, Val IOU: 0.6255
[2020-09-18 07:24:18] Epoch: 118, LR: 0.00001000, Train IOU: 0.1897, Val IOU: 0.6281
[2020-09-18 07:24:53] Epoch: 119, LR: 0.00001000, Train IOU: 0.1828, Val IOU: 0.6282
[2020-09-18 07:25:29] Epoch: 120, LR: 0.00001000, Train IOU: 0.1918, Val IOU: 0.6365

------------------------------------------------
Best Validation IOU 0.6365 at epoch 120
------------------------------------------------

Hay 1 clases!
[Train] 334 muestras
[Validacion] 67 muestras

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 20
cutmix: False
selected_class: Huecos
img_size: 512
crop_size: 512
model_name: unet_extra_small
pretrained: False
validation_size: 0.15
output_dir: results/segmentation/Huecos/unet_extra_small_adam_512to512_lr0.001/
data_augmentation: True

-------------- START TRAINING --------------
[2020-09-18 07:26:11] Epoch: 1, LR: 0.00100000, Train IOU: 0.0630, Val IOU: 0.0000
[2020-09-18 07:26:46] Epoch: 2, LR: 0.00100000, Train IOU: 0.1242, Val IOU: 0.0006
[2020-09-18 07:27:20] Epoch: 3, LR: 0.00100000, Train IOU: 0.1484, Val IOU: 0.0291
[2020-09-18 07:27:55] Epoch: 4, LR: 0.00100000, Train IOU: 0.1768, Val IOU: 0.1219
[2020-09-18 07:28:29] Epoch: 5, LR: 0.00100000, Train IOU: 0.1620, Val IOU: 0.1607
[2020-09-18 07:29:04] Epoch: 6, LR: 0.00100000, Train IOU: 0.1655, Val IOU: 0.5292
[2020-09-18 07:29:38] Epoch: 7, LR: 0.00100000, Train IOU: 0.1627, Val IOU: 0.5298
[2020-09-18 07:30:11] Epoch: 8, LR: 0.00100000, Train IOU: 0.1728, Val IOU: 0.5323
[2020-09-18 07:30:45] Epoch: 9, LR: 0.00100000, Train IOU: 0.1638, Val IOU: 0.4909
[2020-09-18 07:31:20] Epoch: 10, LR: 0.00100000, Train IOU: 0.1606, Val IOU: 0.5439
[2020-09-18 07:31:54] Epoch: 11, LR: 0.00100000, Train IOU: 0.1534, Val IOU: 0.5697
[2020-09-18 07:32:29] Epoch: 12, LR: 0.00100000, Train IOU: 0.1672, Val IOU: 0.5200
[2020-09-18 07:33:04] Epoch: 13, LR: 0.00100000, Train IOU: 0.1668, Val IOU: 0.3997
[2020-09-18 07:33:39] Epoch: 14, LR: 0.00100000, Train IOU: 0.1529, Val IOU: 0.5026
[2020-09-18 07:34:14] Epoch: 15, LR: 0.00100000, Train IOU: 0.1469, Val IOU: 0.5624
[2020-09-18 07:34:49] Epoch: 16, LR: 0.00100000, Train IOU: 0.1607, Val IOU: 0.4504
[2020-09-18 07:35:24] Epoch: 17, LR: 0.00100000, Train IOU: 0.1586, Val IOU: 0.4977
[2020-09-18 07:35:59] Epoch: 18, LR: 0.00100000, Train IOU: 0.1692, Val IOU: 0.4606
[2020-09-18 07:36:34] Epoch: 19, LR: 0.00100000, Train IOU: 0.1602, Val IOU: 0.5363
[2020-09-18 07:37:08] Epoch: 20, LR: 0.00100000, Train IOU: 0.1610, Val IOU: 0.5382
[2020-09-18 07:37:43] Epoch: 21, LR: 0.00100000, Train IOU: 0.1669, Val IOU: 0.5445
[2020-09-18 07:38:19] Epoch: 22, LR: 0.00100000, Train IOU: 0.1607, Val IOU: 0.5965
[2020-09-18 07:38:53] Epoch: 23, LR: 0.00100000, Train IOU: 0.1523, Val IOU: 0.5707
[2020-09-18 07:39:27] Epoch: 24, LR: 0.00100000, Train IOU: 0.1696, Val IOU: 0.5873
[2020-09-18 07:40:02] Epoch: 25, LR: 0.00100000, Train IOU: 0.1510, Val IOU: 0.4648
[2020-09-18 07:40:36] Epoch: 26, LR: 0.00100000, Train IOU: 0.1538, Val IOU: 0.5740
[2020-09-18 07:41:12] Epoch: 27, LR: 0.00100000, Train IOU: 0.1724, Val IOU: 0.5193
[2020-09-18 07:41:46] Epoch: 28, LR: 0.00100000, Train IOU: 0.1927, Val IOU: 0.6006
[2020-09-18 07:42:22] Epoch: 29, LR: 0.00100000, Train IOU: 0.1723, Val IOU: 0.5163
[2020-09-18 07:42:57] Epoch: 30, LR: 0.00100000, Train IOU: 0.1679, Val IOU: 0.5192
[2020-09-18 07:43:31] Epoch: 31, LR: 0.00100000, Train IOU: 0.1683, Val IOU: 0.6036
[2020-09-18 07:44:07] Epoch: 32, LR: 0.00100000, Train IOU: 0.1666, Val IOU: 0.5375
[2020-09-18 07:44:42] Epoch: 33, LR: 0.00100000, Train IOU: 0.1821, Val IOU: 0.5502
[2020-09-18 07:45:17] Epoch: 34, LR: 0.00100000, Train IOU: 0.1669, Val IOU: 0.5831
[2020-09-18 07:45:51] Epoch: 35, LR: 0.00100000, Train IOU: 0.1728, Val IOU: 0.6032
[2020-09-18 07:46:25] Epoch: 36, LR: 0.00100000, Train IOU: 0.1912, Val IOU: 0.6089
[2020-09-18 07:46:59] Epoch: 37, LR: 0.00100000, Train IOU: 0.1868, Val IOU: 0.6161
[2020-09-18 07:47:34] Epoch: 38, LR: 0.00100000, Train IOU: 0.1711, Val IOU: 0.6012
[2020-09-18 07:48:09] Epoch: 39, LR: 0.00100000, Train IOU: 0.1638, Val IOU: 0.6194
